Video,Frame,Event Type,Parent IDs,Child IDs,Note,Score,start_frame,end_frame,source_mask_prev,source_mask_curr
500C-EDmovie2-jpg,51--52,merge,[13],[13][110],Two particles merge into one,0.6537591428998577,51,52,0051__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0052__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,53--54,merge,[19],[19][64],Two particles merge into one,0.7230801528805622,53,54,0053__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0054__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,58--59,merge,[132],[132][19],Two particles merge into one,0.617612550247425,58,59,0058__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0059__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,59--60,merge,[48],[48][71],Two particles merge into one,0.5564031217795606,59,60,0059__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0060__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,60--61,split,[48],[48][71],A particle splits into two,0.5808997406959526,60,61,0060__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0061__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,62--63,split,[136],[136][37][45][83][106][53][67][70][134][54][52][75][56][68][7][71][23][46][102][38][42][5][65][29][69][58][2][137][80][127][117][16][34][41][57][28][17][74][51][63][73][14][31][15][18][32],A particle splits into 46,0.6211720085305971,62,63,0062__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0063__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,62--63,merge,[136],[136][13][59][39][10][64][66][82][67][77][68][56][80][74][52][75][38][69][98][5][7][22][63][73][58][133][70][16],28 particles merge into one,0.6022097940416873,62,63,0062__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0063__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,67--68,split,[48],[48][71],A particle splits into two,0.5688652063927324,67,68,0067__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0068__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,71--72,merge,[132],[132][64],Two particles merge into one,0.7068162039185322,71,72,0071__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0072__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,76--77,merge,[48],[48][71],Two particles merge into one,0.6197129784705567,76,77,0076__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0077__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,95--96,merge,[133],[133][149],Two particles merge into one,0.5854371558393459,95,96,0095__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0096__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,110--111,merge,[142],[142][83],Two particles merge into one,0.5805137210576023,110,111,0110__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0111__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,161--162,merge,[7],[67][7],Two particles merge into one,0.6376671341325121,161,162,0161__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0162__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
