Video,Frame,Event Type,Parent IDs,Child IDs,Note,Score,start_frame,end_frame,source_mask_prev,source_mask_curr
700C-TEMmovie4-jpg,0--1,merge,[15],[15][13],Two particles merge into one,0.6269821153584754,0,1,0000__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0001__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,7--8,merge,[11],[11][5],Two particles merge into one,0.6568614552719444,7,8,0007__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0008__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,8--9,merge,[8],[8][19],Two particles merge into one,0.6745673503649734,8,9,0008__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0009__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,12--13,merge,[23],[23][4],Two particles merge into one,0.6705721139064245,12,13,0012__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0013__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,12--13,merge,[18],[18][22],Two particles merge into one,0.6606548101908547,12,13,0012__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0013__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,17--18,split,[11],[24][5],A particle splits into two,0.5570788634522765,17,18,0017__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0018__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,21--22,merge,[35],[15][34],Two particles merge into one,0.5513830433512522,21,22,0021__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0022__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,28--29,split,[24],[39][24],A particle splits into two,0.6621209755989268,28,29,0028__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0029__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,40--41,merge,[51],[7][50],Two particles merge into one,0.6810009725399209,40,41,0040__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0041__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,43--44,split,[39],[39][56],A particle splits into two,0.5813132453722614,43,44,0043__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0044__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,45--46,merge,[48],[57][48][58],3 particles merge into one,0.6131256174691934,45,46,0045__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0046__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,54--55,merge,[36],[36][72],Two particles merge into one,0.5531398799927979,54,55,0054__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0055__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,55--56,merge,[68],[68][65],Two particles merge into one,0.6142638449487415,55,56,0055__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0056__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,57--58,merge,[75],[25][75],Two particles merge into one,0.5749957307997652,57,58,0057__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0058__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,60--61,merge,[75],[78][75],Two particles merge into one,0.5721623806296349,60,61,0060__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0061__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
700C-TEMmovie4-jpg,69--70,merge,[43],[43][88],Two particles merge into one,0.600182858130665,69,70,0069__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif,0070__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.40__tracks.tif
